FRACTION I - Water,,,,,,,,,,,,,,,Calibration,,,,,,,,,,,,,,,,,,,
Soil,Time,Samples ID,Repetition,Weight (g),Volume (mL),Dilution factor,Absorbance,P mg/L,P mg/kg,Mean,SD,S4,Forest - TWW,,po43- (mg),Absorbance,,,Adjusted,,,,,,,,,,,,,,,
,,Blank3,,,,,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Blank4,,,,,0.0447,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,Initial,S4,1,0.5038,30,10,0.1468,5.671728972,337.7369376,329.6004863,7.27891374,,,,,,,,,,,,,,,,,,,,,,,
S4,Initial,S4,2,0.503,30,10,0.1455,5.595794393,333.7451924,,,,,,,,,,,,,,,,,,,,,,,,,
S4,Initial,S4,3,0.5048,30,10,0.1428,5.438084112,323.1824948,,,,,,,,,,,,,,,,,,,,,,,,,
S4,Initial,S5,4,0.5061,30,10,0.1432,5.461448598,323.7373206,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Initial,S5,1,0.5026,30,10,0.0842,2.015186916,120.2857292,130.5020822,8.3143378,,,,,,,,,,,,,,,,,,,,,,,
S5,Initial,S5,2,0.5049,30,10,0.0893,2.313084112,137.4381528,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Initial,S5,3,0.5048,30,10,0.0892,2.307242991,137.1182443,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Initial,S5,4,0.5071,30,10,0.0865,2.14953271,127.1662025,,,,,,,,,,,,,,,,,,,,,,,,,
S6,Initial,S6,1,0.5066,30,10,0.1399,5.268691589,312.003055,313.075345,1.443861006,,,,,,,,,,,,,,,,,,,,,,,
S6,Initial,S6,2,0.5067,30,10,0.13985,5.265771028,311.7685629,,,,,,,,,,,,,,,,,,,,,,,,,
S6,Initial,S6,3,0.506,30,10,0.1406,5.309579439,314.7972,,,,,,,,,,,,,,,,,,,,,,,,,
S6,Initial,S6,4,0.5066,30,10,0.1404,5.297897196,313.732562,,,,,,,,,,,,,,,,,,,,,,,,,
S7,Initial,S7,1,0.503,30,10,0.1508,5.905373832,352.2091749,359.578385,5.560723,,,,,,,,,,,,,,,,,,,,,,,
S7,Initial,S7,2,0.5032,30,10,0.1533,6.051401869,360.7751512,,,,,,,,,,,,,,,,,,,,,,,,,
S7,Initial,S7,3,0.5067,30,10,0.1537,6.074766355,359.6664509,,,,,,,,,,,,,,,,,,,,,,,,,
S7,Initial,S7,4,0.5051,30,10,0.1551,6.156542056,365.6627632,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRACTION IV - Hydrochloride acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treatment,Time,Samples ID,Repetition,Weight (g),Volume (mL),Dilution factor,Absorbance,P mg/L,P mg/kg,Mean,SD,,,,,,,,,,,,,,,,,,,,,,,
,,Blank1,,,,,0.0458,0.0448,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Blank2,,,,,0.0437,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Blank3,,,,,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Blank4,,,,,0.0447,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,Initial,S4,1,0.5038,30,2.5,0.2662,1.264602804,188.2596472,185.4938101,8.536564181,,,,,,,,,,,,,,,,,,,,,,,
S4,Initial,S4,2,0.503,30,2.5,0.2514,1.178154206,175.6691161,,,,,,,,,,,,,,,,,,,,,,,,,
S4,Initial,S4,3,0.5048,30,2.5,0.2598,1.227219626,182.3325514,,,,,,,,,,,,,,,,,,,,,,,,,
S4,Initial,S5,4,0.5061,30,2.5,0.2758,1.32067757,195.7139256,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Initial,S5,1,0.5026,30,2.5,0.1502,0.58703271,87.59938972,84.15599188,3.218205824,,,,,,,,,,,,,,,,,,,,,,,
S5,Initial,S5,2,0.5049,30,2.5,0.1489,0.579439252,86.07237854,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Initial,S5,3,0.5048,30,2.5,0.1427,0.543224299,80.70884,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Initial,S5,4,0.5071,30,2.5,0.1449,0.556074766,82.24335925,,,,,,,,,,,,,,,,,,,,,,,,,
S6,Initial,S6,1,0.5066,30,2.5,0.2829,1.362149533,201.6605112,204.9344888,6.599037233,,,,,,,,,,,,,,,,,,,,,,,
S6,Initial,S6,2,0.5067,30,2.5,0.2897,1.401869159,207.4998755,,,,,,,,,,,,,,,,,,,,,,,,,
S6,Initial,S6,3,0.506,30,2.5,0.2955,1.435747664,212.8084482,,,,,,,,,,,,,,,,,,,,,,,,,
