Type of Soil,Concentration added (mg/L),Repetition,Soil (g),Volume (mL),Dilution Factor,Equilibrium P (absorbance),Equilibrium P adjusted (absorbance),Equilibrium Concentration  (mg/L), Equilibrium Concentration normalized (Ceq) (mg/L),Average Equilibrium Concentration (Ceq) (mg/L),SD,P adsorbed (Q) (mg/kg),Average P adsorbed (Q) (mg/kg),SD,,,,
,5,1,1.0057,15,1,0.0928,0.043766667,-0.034657321,0,0,0,74.57492294,74.18013267,0.34191787,,60,28.66238318,466.8094391
,5,2,1.0138,15,1,0.0824,0.033366667,-0.095404984,0,,,73.97908858,,,,80,41.64836449,571.5076599
,5,3,1.0137,15,1,0.0865,0.037466667,-0.071456386,0,,,73.9863865,,,,100,59.72205997,600.7140532
,10,1,1.0097,15,2,0.1096,0.060566667,0.12694704,0.12694704,0.17834891,0.058888239,146.6730657,146.2028654,1.361714561,,,,
,10,2,1.0017,15,2,0.1129,0.063866667,0.165498442,0.165498442,,,147.2671692,,,,,,
,10,3,1.0117,15,2,0.1195,0.070466667,0.242601246,0.242601246,,,144.6683615,,,,,,
,20,1,1.004,15,5,0.2114,0.162366667,3.290498442,3.290498442,2.796923676,0.427749997,249.6439476,255.4335714,5.120864947,,,,
,20,2,1.0101,15,5,0.1855,0.136466667,2.534073209,2.534073209,,,259.3692722,,,,,,
,20,3,1.0164,15,5,0.1866,0.137566667,2.566199377,2.566199377,,,257.2874944,,,,,,
,40,1,1.0089,15,10,0.3427,0.293666667,14.25038941,14.25038941,14.17056075,0.556298467,382.8369104,384.989474,9.027280528,,,,
,40,2,1.0067,15,10,0.3501,0.301066667,14.6826324,14.6826324,,,377.2330526,,,,,,
,40,3,1.0036,15,10,0.3312,0.282166667,13.57866044,13.57866044,,,394.898459,,,,,,
,60,1,1.0012,15,15,0.4233,0.374266667,28.4375,28.4375,28.66238318,0.316675528,472.8700559,466.8094391,5.724579436,,,,
,60,2,1.013,15,15,0.4243,0.375266667,28.52511682,28.52511682,,,466.0644103,,,,,,
,60,3,1.0068,15,15,0.43,0.380966667,29.02453271,29.02453271,,,461.4938512,,,,,,
,80,,1.0017,15,20,0.459,0.409966667,42.08722741,42.08722741,41.64836449,0.380393517,567.7264538,571.5076599,4.878057453,,,,
,80,,1.0031,15,20,0.45323,0.404196667,41.41316199,41.41316199,,,577.0138272,,,,,,
,80,,1.015,15,20,0.4535,0.404466667,41.44470405,41.44470405,,,569.7826988,,,,,,
,100,,1.0038,15,25,0.50513,0.456096667,59.34530763,59.34530763,59.72205997,0.327581608,607.5118405,600.7140532,6.019504645,,,,
